query_id,query_image_id,query_filename,query_path,product_id,product_key,split,category,article_type,product_name,relevant_catalog_item_ids,relevant_catalog_count
test_q001,26957,26957.jpg,data/images/26957.jpg,26957,jealous 21 women purple shirt|shirts|women|purple,test,Apparel,Shirts,Jealous 21 Women Purple Shirt,26960,1
val_q001,37783,37783.jpg,data/images/37783.jpg,37783,john players men navy blue shirt|shirts|men|navy blue,validation,Apparel,Shirts,John Players Men Navy Blue Shirt,37812,1
test_q002,29726,29726.jpg,data/images/29726.jpg,29726,kiara women teal handbag|handbags|women|teal,test,Accessories,Handbags,Kiara Women Teal Handbag,"29738,29742,53668,54018,54033",5
test_q003,49660,49660.jpg,data/images/49660.jpg,49660,mineral women green top|tops|women|green,test,Apparel,Tops,Mineral Women Green Top,"37944,49653,49659",3
test_q004,58177,58177.jpg,data/images/58177.jpg,58177,rocky s women brown handbag|handbags|women|brown,test,Accessories,Handbags,Rocky S Women Brown Handbag,58173,1
val_q002,32568,32568.jpg,data/images/32568.jpg,32568,only women black top|tops|women|black,validation,Apparel,Tops,ONLY Women Black Top,"32573,32597,32599",3
test_q005,30501,30501.jpg,data/images/30501.jpg,30501,lovable women fiona purple bra|bra|women|purple,test,Apparel,Bra,Lovable Women Fiona Purple Bra,"30496,30500",2
val_q003,16768,16768.jpg,data/images/16768.jpg,16768,spice art women black handbag|handbags|women|black,validation,Accessories,Handbags,Spice Art Women Black Handbag,"26435,49567,59432",3
val_q004,32432,32432.jpg,data/images/32432.jpg,32432,adidas men black jersey|tshirts|men|black,validation,Apparel,Tshirts,ADIDAS Men Black Jersey,"29321,40075,40094,53433",4
test_q006,27210,27210.jpg,data/images/27210.jpg,27210,doodle kids boy check green shirt|shirts|men|green,test,Apparel,Shirts,Doodle Kids Boy Check Green Shirt,33489,1
test_q007,41402,41402.jpg,data/images/41402.jpg,41402,wrangler women pink t-shirt|tshirts|women|pink,test,Apparel,Tshirts,Wrangler Women Pink T-shirt,41406,1
test_q008,46411,46411.jpg,data/images/46411.jpg,46411,adidas men black sweatshirt|sweatshirts|men|black,test,Apparel,Sweatshirts,ADIDAS Men Black Sweatshirt,46383,1
val_q005,51542,51542.jpg,data/images/51542.jpg,51542,fastrack men white dial watch|watches|men|white,validation,Accessories,Watches,Fastrack Men White Dial Watch,"43163,43179,43193,51510,51534,51552,56341",7
