image_id,product_id,filename,relative_path,category,master_category,sub_category,article_type,gender,base_colour,season,year,usage,product_display_name,width,height,file_size_bytes,product_key
15970,15970,15970.jpg,data/images/15970.jpg,Apparel,Apparel,Topwear,Shirts,Men,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Shirt,60,80,1474,turtle check men navy blue shirt|shirts|men|navy blue
39386,39386,39386.jpg,data/images/39386.jpg,Apparel,Apparel,Bottomwear,Jeans,Men,Blue,Summer,2012.0,Casual,Peter England Men Party Blue Jeans,60,80,1879,peter england men party blue jeans|jeans|men|blue
59263,59263,59263.jpg,data/images/59263.jpg,Accessories,Accessories,Watches,Watches,Women,Silver,Winter,2016.0,Casual,Titan Women Silver Watch,60,80,14841,titan women silver watch|watches|women|silver
59262,59262,59262.jpg,data/images/59262.jpg,Accessories,Accessories,Watches,Watches,Women,Silver,Winter,2016.0,Casual,Titan Women Silver Watch,60,80,21888,titan women silver watch|watches|women|silver
59223,59223,59223.jpg,data/images/59223.jpg,Accessories,Accessories,Watches,Watches,Women,Silver,Winter,2016.0,Casual,Titan Women Silver Watch,60,80,20256,titan women silver watch|watches|women|silver
59267,59267,59267.jpg,data/images/59267.jpg,Accessories,Accessories,Watches,Watches,Women,Silver,Winter,2016.0,Casual,Titan Women Silver Watch,60,80,12845,titan women silver watch|watches|women|silver
40547,40547,40547.jpg,data/images/40547.jpg,Accessories,Accessories,Watches,Watches,Women,Silver,Winter,2016.0,Casual,Titan Women Silver Watch,60,80,3337,titan women silver watch|watches|women|silver
21379,21379,21379.jpg,data/images/21379.jpg,Apparel,Apparel,Bottomwear,Track Pants,Men,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Track Pants,60,80,2052,manchester united men solid black track pants|track pants|men|black
53759,53759,53759.jpg,data/images/53759.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt,60,80,17798,puma men grey t-shirt|tshirts|men|grey
58726,58726,58726.jpg,data/images/58726.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt,60,80,3723,puma men grey t-shirt|tshirts|men|grey
44875,44875,44875.jpg,data/images/44875.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Grey,Summer,2012.0,Sports,Puma Men Grey T-shirt,60,80,4767,puma men grey t-shirt|tshirts|men|grey
58732,58732,58732.jpg,data/images/58732.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Grey,Fall,2012.0,Casual,Puma Men Grey T-shirt,60,80,3746,puma men grey t-shirt|tshirts|men|grey
44830,44830,44830.jpg,data/images/44830.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt,60,80,4830,puma men grey t-shirt|tshirts|men|grey
44897,44897,44897.jpg,data/images/44897.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt,60,80,15495,puma men grey t-shirt|tshirts|men|grey
1855,1855,1855.jpg,data/images/1855.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Grey,Summer,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt,60,80,2069,inkfruit mens chain reaction t-shirt|tshirts|men|grey
30805,30805,30805.jpg,data/images/30805.jpg,Apparel,Apparel,Topwear,Shirts,Men,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Shirt,60,80,1554,fabindia men striped green shirt|shirts|men|green
26960,26960,26960.jpg,data/images/26960.jpg,Apparel,Apparel,Topwear,Shirts,Women,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Shirt,60,80,23896,jealous 21 women purple shirt|shirts|women|purple
29114,29114,29114.jpg,data/images/29114.jpg,Accessories,Accessories,Socks,Socks,Men,Navy Blue,Summer,2012.0,Casual,Puma Men Pack of 3 Socks,60,80,22358,puma men pack of 3 socks|socks|men|navy blue
29117,29117,29117.jpg,data/images/29117.jpg,Accessories,Accessories,Socks,Socks,Men,Navy Blue,Summer,2012.0,Casual,Puma Men Pack of 3 Socks,60,80,22199,puma men pack of 3 socks|socks|men|navy blue
30039,30039,30039.jpg,data/images/30039.jpg,Accessories,Accessories,Watches,Watches,Men,Black,Winter,2016.0,Casual,Skagen Men Black Watch,60,80,22340,skagen men black watch|watches|men|black
9204,9204,9204.jpg,data/images/9204.jpg,Footwear,Footwear,Shoes,Casual Shoes,Men,Black,Summer,2011.0,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,60,80,2400,puma men future cat remix sf black casual shoes|casual shoes|men|black
48123,48123,48123.jpg,data/images/48123.jpg,Accessories,Accessories,Belts,Belts,Women,Black,Summer,2012.0,Casual,Fossil Women Black Huarache Weave Belt,60,80,20886,fossil women black huarache weave belt|belts|women|black
18653,18653,18653.jpg,data/images/18653.jpg,Footwear,Footwear,Flip Flops,Flip Flops,Men,Black,Fall,2011.0,Casual,Fila Men Cush Flex Black Slippers,60,80,14562,fila men cush flex black slippers|flip flops|men|black
47957,47957,47957.jpg,data/images/47957.jpg,Accessories,Accessories,Bags,Handbags,Women,Blue,Summer,2012.0,Casual,Murcia Women Blue Handbag,60,80,23855,murcia women blue handbag|handbags|women|blue
27677,27677,27677.jpg,data/images/27677.jpg,Accessories,Accessories,Bags,Handbags,Women,Blue,Winter,2015.0,Casual,Murcia Women Blue Handbag,60,80,24337,murcia women blue handbag|handbags|women|blue
57241,57241,57241.jpg,data/images/57241.jpg,Accessories,Accessories,Bags,Handbags,Women,Blue,Summer,2012.0,Casual,Murcia Women Blue Handbag,60,80,21675,murcia women blue handbag|handbags|women|blue
57252,57252,57252.jpg,data/images/57252.jpg,Accessories,Accessories,Bags,Handbags,Women,Blue,Summer,2015.0,Casual,Murcia Women Blue Handbag,60,80,24189,murcia women blue handbag|handbags|women|blue
37433,37433,37433.jpg,data/images/37433.jpg,Accessories,Accessories,Bags,Handbags,Women,Blue,Summer,2012.0,Casual,Murcia Women Blue Handbag,60,80,25557,murcia women blue handbag|handbags|women|blue
47928,47928,47928.jpg,data/images/47928.jpg,Accessories,Accessories,Bags,Handbags,Women,Blue,Summer,2012.0,Casual,Murcia Women Blue Handbag,60,80,15013,murcia women blue handbag|handbags|women|blue
46885,46885,46885.jpg,data/images/46885.jpg,Footwear,Footwear,Flip Flops,Flip Flops,Boys,Navy Blue,Fall,2012.0,Casual,Ben 10 Boys Navy Blue Slippers,60,80,20331,ben 10 boys navy blue slippers|flip flops|boys|navy blue
