condition,model,reranked,query_type,variation_type,query_id,query_path,category,relevant_count,relevant_catalog_item_ids,retrieved_catalog_item_ids,hits_top5,P@1,P@5,P@10,R@1,R@5,R@10,Hit@1,Hit@5,Hit@10,MRR,embedding_latency_ms,search_latency_ms,rerank_latency_ms,total_latency_ms
CLIP baseline — clean test,CLIP,False,clean,clean,test_q001,data/images/26957.jpg,Apparel,1,[17],"[17, 1548, 31023, 7652, 37865, 29235, 25665, 41238, 31232, 28494]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,171.21,23.1,0.05,194.36
CLIP baseline — clean test,CLIP,False,clean,clean,test_q002,data/images/29726.jpg,Accessories,5,"[82, 83, 84, 85, 86]","[5840, 8092, 31920, 43371, 26532, 26540, 5029, 5841, 82, 5843]",0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,1.0,0.1111,139.3,18.58,0.048,157.93
CLIP baseline — clean test,CLIP,False,clean,clean,test_q003,data/images/49660.jpg,Apparel,3,"[192, 193, 194]","[194, 40546, 17635, 35496, 22069, 13086, 10825, 20959, 8465, 22231]",1,1.0,0.2,0.1,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,160.7,17.59,0.047,178.33
CLIP baseline — clean test,CLIP,False,clean,clean,test_q004,data/images/58177.jpg,Accessories,1,[389],"[7242, 13439, 28888, 1223, 22733, 26073, 2634, 3774, 4780, 17836]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.34,19.81,0.043,175.19
CLIP baseline — clean test,CLIP,False,clean,clean,test_q005,data/images/30501.jpg,Apparel,2,"[835, 836]","[835, 35784, 12629, 39534, 1748, 31582, 29381, 20492, 41334, 30366]",1,1.0,0.2,0.1,0.5,0.5,0.5,1.0,1.0,1.0,1.0,152.12,17.01,0.047,169.18
CLIP baseline — clean test,CLIP,False,clean,clean,test_q006,data/images/27210.jpg,Apparel,1,[1271],"[1271, 1553, 1552, 9611, 9610, 9609, 29979, 26688, 26687, 14499]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,111.58,17.87,0.041,129.49
CLIP baseline — clean test,CLIP,False,clean,clean,test_q007,data/images/41402.jpg,Apparel,1,[1323],"[32640, 20588, 41702, 10506, 15813, 30852, 24619, 1321, 34915, 42443]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.23,17.47,0.044,137.74
CLIP baseline — clean test,CLIP,False,clean,clean,test_q008,data/images/46411.jpg,Apparel,1,[1372],"[18546, 23887, 4882, 12828, 15236, 11149, 2920, 39799, 12077, 15238]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.74,17.78,0.066,141.59
CLIP baseline — clean test,CLIP,False,clean,clean,test_q009,data/images/15354.jpg,Footwear,1,[1691],"[35012, 5389, 3327, 25238, 495, 489, 37687, 29992, 43569, 30014]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.66,19.24,0.036,155.94
CLIP baseline — clean test,CLIP,False,clean,clean,test_q010,data/images/29314.jpg,Accessories,2,"[1917, 1918]","[40020, 2114, 39872, 1918, 35451, 6921, 40383, 34020, 38727, 32634]",1,0.0,0.2,0.1,0.0,0.5,0.5,0.0,1.0,1.0,0.25,127.22,18.12,0.043,145.38
CLIP baseline — clean test,CLIP,False,clean,clean,test_q011,data/images/43531.jpg,Apparel,1,[2151],"[16786, 2248, 28982, 27048, 31684, 41088, 7295, 7818, 15455, 7259]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.46,17.52,0.043,168.02
CLIP baseline — clean test,CLIP,False,clean,clean,test_q012,data/images/34650.jpg,Footwear,1,[2163],"[41227, 35745, 2163, 25221, 43849, 18799, 33432, 30257, 41226, 26868]",1,0.0,0.2,0.1,0.0,1.0,1.0,0.0,1.0,1.0,0.3333,121.69,17.03,0.047,138.76
CLIP baseline — clean test,CLIP,False,clean,clean,test_q013,data/images/20054.jpg,Accessories,1,[2179],"[3309, 42581, 3340, 2179, 42170, 41424, 23840, 43648, 1490, 10249]",1,0.0,0.2,0.1,0.0,1.0,1.0,0.0,1.0,1.0,0.25,117.86,17.63,0.045,135.54
CLIP baseline — clean test,CLIP,False,clean,clean,test_q014,data/images/58188.jpg,Accessories,1,[2183],"[7244, 21537, 10755, 39145, 3902, 25916, 14980, 34124, 1442, 34327]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.72,19.52,0.047,173.29
CLIP baseline — clean test,CLIP,False,clean,clean,test_q015,data/images/27870.jpg,Apparel,1,[2753],"[2753, 42450, 9056, 25409, 41340, 43045, 25407, 38807, 30726, 41489]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.14,18.24,0.044,133.42
CLIP baseline — clean test,CLIP,False,clean,clean,test_q016,data/images/49674.jpg,Accessories,4,"[2890, 2891, 2892, 2893]","[40992, 2893, 13178, 10987, 10351, 13183, 13753, 13184, 36013, 24930]",1,0.0,0.2,0.1,0.0,0.25,0.25,0.0,1.0,1.0,0.5,124.04,18.42,0.054,142.52
CLIP baseline — clean test,CLIP,False,clean,clean,test_q017,data/images/27209.jpg,Apparel,2,"[2992, 2993]","[2993, 39788, 39787, 31863, 28905, 28904, 27510, 7512, 7511, 18133]",1,1.0,0.2,0.1,0.5,0.5,0.5,1.0,1.0,1.0,1.0,118.17,17.96,0.045,136.18
